model_canonical,model_id,documented_run_stage,analysis_role,raw_response_file,raw_response_sha256,inference_code_file,inference_code_sha256,benchmark,benchmark_sha256,provenance_note,historical_hub_revision_sha
mistral_7b_instruct_v0_2,mistralai/Mistral-7B-Instruct-v0.2,v4 frozen benchmark baseline,clean final,data/raw_responses/mistral_raw_outputs.csv,59247965279263a6c8bf8955c3e3eb27b36d04c316d3c4f8021d9e2df6a77a53,inference/mistral/mistral_inference.ipynb,45fb8d11c4ff119f5cfc7c8ebbe0ab7290b16135cf26f57d6c4c6ea139185bb9,data/benchmark/frozen_alignsec_v4_benchmark.csv,d0bba7ade1d3801cdab983c277303c35c4200985abd48cf4001b71fa555b3d46,original raw CSV preserved,not recorded
qwen2_5_3b_instruct,Qwen/Qwen2.5-3B-Instruct,v5 frozen-v4 run,clean final,data/raw_responses/qwen_raw_outputs_RECONSTRUCTED_FROM_FROZEN_FINAL_DATA.csv,d41dee962fa51af7d08aed91d5a2122ed5086ded06c29cd45abe8d4a74ffd4b5,inference/qwen/qwen_historical_run_reconstruction.py,276e9f15c2ce7f279993793099039bac94bdbb589392c80e9a0d39ecdbe6263d,data/benchmark/frozen_alignsec_v4_benchmark.csv,d0bba7ade1d3801cdab983c277303c35c4200985abd48cf4001b71fa555b3d46,historical run supported by preserved execution evidence; raw historical-format CSV reconstructed losslessly from frozen final fields; byte-identical original not claimed,not recorded
zephyr_7b_beta,HuggingFaceH4/zephyr-7b-beta,v5 frozen-v4 run,clean final,data/raw_responses/zephyr_raw_outputs.csv,02492a3179009c126afbee788cceef3b62f2600d3ff64f9f849ccace1a1f9245,inference/zephyr_llama2/zephyr_llama2_inference.ipynb,68f0d0a83314289f013bd0a6193bcb6ca03630f7390318cb002f30f2f9651ab0,data/benchmark/frozen_alignsec_v4_benchmark.csv,d0bba7ade1d3801cdab983c277303c35c4200985abd48cf4001b71fa555b3d46,original raw CSV preserved,not recorded
llama2_7b_chat_failed_diagnostic,NousResearch/Llama-2-7b-chat-hf,v5 frozen-v4 run,diagnostic; benign-control ineligible,data/raw_responses/llama2_raw_outputs.csv,a6fd91381c925c0147a2066f9828de49db9ef1a9574526b780c8ed89186a1b41,inference/zephyr_llama2/zephyr_llama2_inference.ipynb,68f0d0a83314289f013bd0a6193bcb6ca03630f7390318cb002f30f2f9651ab0,data/benchmark/frozen_alignsec_v4_benchmark.csv,d0bba7ade1d3801cdab983c277303c35c4200985abd48cf4001b71fa555b3d46,original raw CSV preserved; retained for diagnostic analysis,not recorded
